$>n	a matter
>tt	it came
>tthm	Came to them
>ttk	came to you
>ttkm	(there) came to you
>ttrkwn	Will you be left
>ttx*	Do you take
>ttx*nA	Do you take us
>twA	they came
>twASwA	Have they transmitted it to them
>twb	I will accept repentance
>twh	(will) come to Him
>twk	they came to you
>twk&A	I lean
>tx$wnhm	Do you fear them
>tx*	I had taken
>tx*nhm	Did we take them
>tx*tm	Have you taken
>tyA	they came
>tyn	they commit
>tynA	We come
>tynhm	We have brought them
>tyt	you come
>vAmA	a penalty
>vmr	it bears fruit
>vqAlhA	its burdens
>vqAlhm	their burdens
>vqAlkm	your loads
>vqlt	she grows heavy
>vr	track
>vrY	my tracks
>vrp	a trace
>vvA	(is) furnishing
>vxntmwhm	you have subdued them
>vym	sinner
>vymA	(and) sinful
>w'AbA&nA	Or our fathers
>w*Y	he is harmed
>w*ynA	We have been harmed
>w>mn	Or felt secure
>wAb	who turns
>wEZt	whether you advise
>wEjbtm	Do you wonder
>wHY	inspired
>wHynA	We revealed
>wHyt	I inspired
>wY	retreated
>wbY	Repeat praises
>wdyp	the valleys
>wdythm	their valleys
>wf	I will fulfill
>wfY	fulfils
>wfwA	Fulfil
>wh	imploring
>whn	the weakest
>wjftm	you made expedition
>wklmA	And is (it not that) whenever
>wl	first
>wlY	Woe
>wlYhm	first of them
>wlYhmA	(for) the first of the two
>wldhm	their children
>wldhn	their children
>wldkm	your child
>wlt	those (who are)
>wlwA	men
>wlyA&h	its guardians
>wlyA&hm	their friends
>wlyA&km	(are) your protectors
>wlyA'	allies
>wlyA'h	its guardians
>wlyA}hm	their friends
>wlyA}km	your friends
>wlys	Is not
>wqdwA	they kindled
>wrvnA	We caused to inherit
>wrvtmwhA	you are made to inherit
>wrvwA	were made to inherit
>wsT	average
>wsThm	most moderate of them
>wt	I had been given
>wtAdA	(as) pegs
>wtY	is given
>wtwA	are given
>wtwh	were given it
>wtyt	you are granted
>wtyth	I have been given it
>wtytm	you are given
>wvnA	idols
>wynA	we retired
>wzAr	the burdens
>wzArA	burdens
>wzArhA	its burdens
>wzArhm	their burdens
>wzEnY	Grant me power
>x	a brother
>x*	took
>x*A	(with) a seizure
>x*h	His seizure
>x*nA	We took
>x*nhm	We seized them
>x*p	(with) a seizure
>x*t	takes
>x*th	takes him
>x*thA	I seized it
>x*thm	seized them
>x*tm	you took
>x*wA	and massacred completely
>xA	brother
>xAf	fear
>xAh	his brother
>xAhm	his brother
>xAlfkm	I differ from you
>xAnA	our brother
>xT>nA	we err
>xT>tm	you made a mistake
>xY	my brother
>xbArhA	its news
>xbArkm	your news
>xdAn	secret lovers
>xfY	is hidden
>xfyhA	[I] hide it
>xfytm	you conceal
>xlSnhm	[We] chose them
>xld	adhered
>xldh	will make him immortal
>xlfnA	we broke
>xlfwA	they broke
>xlq	[I] design
>xnh	[I] betray him
>xr	other
>xrY	other
>xrYhm	last of them
>xrYkm	(from) behind you
>xrj	expelled
>xrjh	drove him out
>xrjk	brought you out
>xrjkm	brought you forth
>xrjnA	take us out
>xrjnY	He took me out
>xrjt	raised
>xrjtk	has driven you out
>xrjtm	you are expelled
>xrjwA	Discharge
>xrjwhm	Drive them out
>xrjwkm	they drove you out
>xrnA	We delay
>xrqthA	Have you made a hole in it
>xrtn	You give me respite
>xrtnA	You postpone (it for) us
>xrtnY	You delay me
>xt	a sister
>xthA	its sister
>xtk	your sister
>xwhm	their brother
>xwk	your brother
>xwlkm	(of) your maternal uncles
>xwthn	(of) their sisters
>xwtkm	(of) your sisters
>xwykm	your brothers
>xyh	his brother
>xzY	(is) more disgracing
>xzyth	You (have) disgraced him
>y$rkwn	Do they associate
>y>mrkm	Would he order you
>yAm	days
>yAmA	(for) days
>yEdkm	Does he promise you
>yHb	Would like
>yHsb	Does think
>yHsbwn	Do they think
>yTmE	Does long
>ybtgwn	Do they seek
>yd	hands
>ydY	hands
>ydk	supported you
>ydtk	I strengthened you
>ydyhm	them
>ydyhmA	their hands
>ydyhn	their hands
>ydykm	your hands
>ydynA	Our hands
>ymn	oaths
>ymnhm	rightfully
>ymnhn	their right hands
>ymnkm	your oaths
>ymskh	Should he keep it
>yqAZA	awake
>ywb	Ayyub
>ywd	Would like
>zA	(with) incitement
>zAg	(was caused to) deviate
>zft	Has approached
>zkY	the purest
>zlft	is brought near
>zrY	my strength
>zwj	pairs
>zwjA	wives
>zwjh	his wives
>zwjhm	their wives
>zwjhn	their husbands
>zwjk	your wives
>zwjkm	your mates
>zwjnA	our spouses
>zyd	I (should) add more
>}fkA	Is it falsehood
>}mp	leaders
DAHkA	laughing
DAHkp	Laughing
DAlA	lost
DAlyn	astray
DAmr	lean camel
DAqt	(was) straitened
DEf	double
DEfA	weak
DEfA'	(are) weak
DEfwA	they weakened
DEfyn	double
DEyfA	weak
DHY	(in) daylight
DHYhA	its brightness
DbHA	panting
DdA	opponents
DgvA	a bunch
Dl	lost
Dll	error
DllA	astray
Dllk	your error
DllnA	we are lost
Dllp	error
Dllt	I err
Dllthm	their error
DlwA	gone astray
DnkA	straitened
Dr	hardship
DrA	harm
DrA'	hardship
DrArA	(to) hurt
Drb	Presents
DrbA	striking
DrbnA	We have set forth
Drbt	Struck
Drbtm	you travel
DrbwA	they traveled
Drbwh	they present it
Drh	his harm
DryE	a bitter thorny plant
DyA'	a shining light
Dyf	guests
DyfY	my guests
Dyfh	his guests
Dyq	distress
DyqA	tight
Dyr	harm
DyzY	unfair
E$A'	early at night
E$r	ten
E$rA	ten
E$rp	twelve
E$rwn	twenty
E$yp	an evening
E$yrthm	their kindred
E$yrtk	your kindred
E*Ab	punishment
E*AbA	punishment
E*AbY	My punishment
E*Abh	His punishment
E*AbhA	its torment
E*AbhmA	their punishment
E*b	palatable
E*rA	an excuse
E*t	[I] seek refuge
EASf	stormy
EASfp	forcefully
EASm	defender
EAbd	a worshipper
EAbrY	(when) passing
EAd	Aad
EAdA	Aad
EAdwn	transgressing
EAdytm	you have been enemies
EAkfA	devoted
EAlyA	arrogant
EAlyn	haughty
EAlyp	elevated
EAm	year
EAmA	year(s)
EAmhm	this, their (final) year
EAml	a worker
EAmlp	Laboring
EAmyn	two years
EAqb	has retaliated
EAqbtm	you retaliate
EAqr	(is) [a] barren
EAqrA	barren
EArD	(is) a cloud
EArDA	(as) a cloud
EAtyp	violent
EA}dwn	(will) return
EA}lA	in need
EDdA	(as) helper(s)
EDdk	your arm
EDwA	they bite
EDyn	(in) parts
ESAY	(is) my staff
ESAh	his staff
ESAk	your staff
ESAnY	disobeys me
ESbp	(are) a group
ESfA	violently
ESwA	they disobeyed
ESwk	they disobey you
ESwnY	disobeyed me
ESyA	disobedient
ESyb	distressful
ESyt	I disobey
ESyth	I (were to) disobey Him
ETA&nA	(is) Our gift
ETA'	a gift
ETfh	his neck
ETlt	(are) left untended
EZAmh	his bones
EZmA	bones
EZym	great
EZymA	great
EbAd	slaves
EbAdA	servants
EbAdY	My slaves
EbAdh	His slaves
EbAdk	your slaves
EbAdkm	your male slaves
EbAdnA	Our slaves
EbAdtY	worship Me
EbAdth	His worship
EbAdtkm	your worship
Ebd	slave
EbdA	a slave
EbdY	My slaves
Ebdh	His slave
EbdnA	Our slave
Ebdnhm	we would not have worshipped them
Ebdt	who worship
Ebdtm	you worship
Ebdwn	(are) slaves
Ebdyn	worshippers
Ebrp	a lesson
Ebs	he frowned
EbvA	uselessly
EbwsA	harsh
EdA	a number
Edd	(in) number
EddA	a number
Edl	just
Edn	of Eden
EdnA	we return
Edp	the number
Edthm	their number
Edtm	you return
Edw	hostile
EdwA	an enemy
EdwY	My enemies
Edwh	his enemy
Edwhm	their enemy
Edwkm	your enemy
Edwn	hostility
EdwnA	(in) aggression
Edwp	(in) enmity
EfA	forgave
EfY	is pardoned
Efryt	a strong one
EfwA	Oft-Pardoning
EfwnA	We forgave
Ehd	covenant
EhdA	a promise
EhdY	My Covenant
Ehdh	His Covenant
Ehdhm	their treaty
EhdnA	We made a covenant
Ehdt	you made a covenant
Ehdtm	you made a covenant
EhdwA	promised
EjAb	curious
EjAf	lean ones
EjbA	amazing
Ejbt	you wonder
EjbwA	they wonder
Ejl	haste
EjlA	a calf
EjlnA	We hasten
EjwlA	ever hasty
Ejwz	an old woman
EjwzA	an old woman
Ejyb	amazing
Ekfwn	(are) devoted
Ekfyn	devoted
ElA	exalted himself
ElY	(is) Most High
Elm	knew
Elm&A	scholars
ElmA	knowledge
ElmY	(do) I know
Elmh	His Knowledge
ElmhA	its knowledge
Elmhm	their knowledge
Elmkm	taught you
ElmnA	we know
ElmnY	has taught me
Elmnh	We taught him
Elmt	know
Elmth	You would have known it
Elmtk	I taught you
Elmtm	you knew
Elmtmwhn	you know them
ElmtnA	You have taught us
ElmwA	they knew
Elmyn	Knowers
Elq	a clinging substance
Elqp	a clinging substance
ElwA	haughtiness
ElyA	high
ElyhA	its upside
Elyhm	Upon them
Elym	learned
ElymA	All-Knower
Elywn	(is) Illiyun
Elyyn	Illiyin
EmY	blind
Emd	pillars
Emk	(of) your paternal uncles
Eml	does
EmlA	work
EmlY	(are) my deeds
Emlh	his deeds
Emlhm	their deed
Emlk	your deeds
Emlkm	your deed
Emlt	it did
Emlth	made it
Emltm	you did
EmlwA	do
Emlwn	(are) doers
EmrA	a lifetime
Emrh	his life
Emrk	your life
Emrn	(of) Imran
EmrwhA	they have built (on) it
Emtk	(of) your paternal aunts
Emtkm	(of) your paternal aunts
EmwA	they became blind
Emwn	(are) blind
EmyA	blind
Emyn	blind
Emyq	distant
End	at
EndY	I have
Endh	Himself
EndhA	near it
Endhm	they had
Endk	you
Endkm	with you
EndnA	Us
Enqh	his neck
Enqk	your neck
Entm	you suffer
Enyd	stubborn
EnydA	stubborn
EqAb	My penalty
EqbA	(for) the final end
EqbY	(is the) end
Eqbh	his descendents
EqbhA	its consequences
Eqbp	the end
EqbthmA	end of both of them
Eqbyh	his heels
Eqdp	the knot
Eqdt	pledged
Eqdtm	you contracted
Eqlwh	they understood it
Eqym	barren
EqymA	barren
Er$	Throne
Er$h	and His throne was
Er$hA	her throne
Er$k	your throne
ErD	goods
ErDA	a gain
ErDhA	its width
ErDhm	He displayed them
ErDnA	[We] offered
ErDp	an excuse
ErDtm	you hint
ErbA	Devoted
ErbY	Arabic
ErbyA	Arabic
Erf	he made known
ErfA	one after another
ErfhA	He has made it known
Erft	(Mount) Arafat
ErfwA	they recognized
Erw$hA	its roofs
EryD	lengthy
EsEs	it departs
EsY	may be
Esl	honey
Esr	hardship
EsrA	(raising) difficulty
Esrp	in difficulty
Esyr	difficult
EsyrA	difficult
Esytm	you perhaps
Etl	Cruel
Ett	rebelled
Etw	pride
EtwA	(with) insolence
EtyA	extreme
Etyd	ready
Evr	it is discovered
EwAn	middle aged
Ewj	deviation
EwjA	crooked
Ewqb	he was made to suffer
Ewqbtm	you were afflicted
Ewrp	(are) exposed
Ewrt	private aspects
Ey$p	a life
EydA	a festival
Eylp	poverty
Eyn	a spring
EynA	springs
EynAh	his eyes
EynAk	your eyes
EynAn	(are) two springs
EynY	My eye
EynhA	her eye
Eynyk	your eyes
Eynyn	two eyes
EysY	Isa
EywnA	(with) springs
EzA	an honor
Ezlt	you (had) set aside
Ezm	the matters
EzmA	determination
Ezmt	you have decided
EzmwA	they resolve
Ezp	self-glory
Ezyn	(in) separate groups
Ezyr	Uzair
Ezyz	mighty
EzyzA	mighty
H$	Forbid
H$r	are gathered
H$rt	are gathered
H$rtnY	You raised me
H$ryn	gatherers
H*r	(in) fear
H*rhm	their precautions
H*rkm	your precautions
H*rwn	forewarned
HADrA	presented
HADrY	present
HADrp	present
HASbA	a violent storm
HAd	oppose
HAfZ	(is) a protector
HAfyn	surrounding
HAj	argued
HAjk	argues (with) you
HAjp	a need
HAjwk	they argue with you
HAjzA	a barrier
HAm	a Hami
HAmyp	intensely hot
HArb	warred
HAsd	(of) an envier
HDr	came to
HDrwh	they attended it
HSAdh	(of) its harvest
HSHS	(is) manifest
HSb	(are) firewood
HSdtm	you reap
HSrt	restraining
HSwnhm	their fortresses
HSydA	reaped
HSyrA	a prison-bed
HTbA	firewood
HTmA	debris
HTp	Repentance
HY	living thing
HZ	share
HZA	a part
Hb	(is) love
HbA	grain
HbAlhm	Their ropes
HbT	(are) wasted
HbTt	worthless
Hbb	has endeared
Hbh	love (for) it
Hbl	(will be) a rope
Hbp	a grain
HdAd	sharp
HdA}q	gardens
Hdb	elevation
Hdwd	limits
Hdwdh	His limits
Hdyd	iron
HdydA	iron
Hdyv	a talk
HdyvA	a narration
HfY	(were) well informed
HfZ	(orders) them to guard
HfZA	Guardian
HfZhmA	guarding of both of them
HfZp	guardians
HfZt	guarding
HfZwA	Guard strictly
HfZwn	(are) guardians
HfZyn	guardians
Hfrp	(of) pit
HfyA	Ever Gracious
HfyZ	guarded
HfyZA	a guardian
Hj	performs Hajj
HjAb	a veil
HjAbA	a screen
HjArp	stones
Hjj	years
Hjjtm	argued
Hjp	argument
Hjr	forbidden
HjrA	A partition
Hjthm	their argument
HjtnA	(is) Our argument
Hjwrkm	your guardianship
Hjzyn	(who could) prevent (it)
Hkm	has judged
HkmA	wisdom
Hkmh	His Commands
Hkmp	Wisdom
Hkmt	you judge
Hkmtm	you judge
Hkym	wise
HkymA	All-Wise
Hl	(is) lawful
HlA	lawful
HlAf	habitual swearer
Hlftm	you have sworn
Hll	(is) lawful
HllA	lawful
Hlltm	you come out of Ihram
Hlyhm	their ornaments
Hlym	forbearing
HlymA	Ever-Forbearing
Hlyp	ornaments
Hm<	black mud
HmAlp	carrier
HmArk	your donkey
Hml	carried
HmlA	a burden
HmlhA	her load
Hmlhn	their burden
HmlnA	We carried
Hmlnkm	We carried you
Hmlt	carried
Hmlth	carried him
Hmltm	(is) placed on you
HmlwA	were entrusted
Hmr	donkeys
Hmwlp	(are some for) burden
Hmyd	Praiseworthy
HmydA	Praiseworthy
Hmym	close
HmymA	boiling
Hmyp	disdain
Hm}p	(of) dark mud
HnfA'	upright
Hny*	roasted
HnyfA	a true
Hnyn	(of) Hunain
Hq	right
HqA	true
HqbA	(for) a long period
Hqh	its due
Hqt	was justified
Hqyq	Obligated
HrA	(in) heat
HrAm	(is) forbidden
HrAmA	unlawful
HrD	Urge
HrDA	fatally ill
HrSt	you desire
HrStm	you desired
Hrd	determination
Hrf	an edge
Hrj	any blame
HrjA	any discomfort
Hrm	prohibited
HrmA	a sanctuary
HrmhA	made it sacred
HrmhmA	has forbidden both
HrmnA	We forbade
Hrmt	Forbidden
Hrqwh	Burn him
HrsA	guards
Hrv	(are) a tilth
Hrvh	his harvest
Hrvkm	your crop
HryS	(he is) concerned
Hryr	(will be of) silk
HsAb	measure
HsAbA	an account
HsAbh	his due
HsAbhm	their account
HsAbk	your account
HsAbyh	my account
HsAn	beautiful
Hsb	think
HsbAnA	a calamity
HsbY	Sufficient for me
Hsbh	(is) sufficient for him
Hsbhm	sufficient for them
Hsbk	Sufficient for you
HsbnA	Sufficient for us
Hsbt	have you thought
Hsbth	she thought it
Hsbthm	you would think them
Hsbtm	do you think
Hsbyn	(as) Reckoners
Hsd	he envies
HsdA	(out of) jealousy
Hsn	good
HsnA	good
Hsnhn	their beauty
Hsnp	good
Hsnt	Good
Hsrp	a regret
Hsrt	(as) regrets
HswmA	(in) succession
HsybA	an Accountant
Hsyr	(is) fatigued
HsyshA	slightest sound of it
HtmA	an inevitability
HvyvA	rapidly
HwbA	a sin
Hwl	around
HwlA	any transfer
Hwlh	around him
HwlhA	(is) around it
Hwlhm	around them
Hwlk	around you
Hwlkm	around you
Hwlyn	(for) two years
Hwr	Fair ones
HwthmA	their fish
HyA	alive
HyAtkm	your life
HyAtnA	our life
Hylp	plan
Hyn	when
Hyn}*	(at) that time
Hyp	(was) a snake
HyrAn	confused
HytAnhm	their fish
Hyv	where
Hywk	they greet you
Hywp	life
Hyytm	you are greeted
Hzb	party
Hzbh	his party
HznA	(of) sorrow
SAHbh	his companion
SAHbhm	their companion
SAHbkm	your companion
SAbrA	patient
SAbrp	steadfast
SAdq	true
SAdqA	truthful
SAl	(is) to burn
SAlwA	(will) burn
SEdA	severe
SEqA	unconscious
SEqp	a thunderbolt
SEwdA	(with) a laborious punishment
SEydA	soil
SHbp	a wife
SHf	sheets
SHfA	pages
SbA	(in) abundance
SbAH	morning
SbAr	patient
SbHA	(at) dawn
SbHhm	seized them in the morning
SbbnA	[We] poured
Sbgp	at coloring
Sbr	(is) patient
SbrA	patience
Sbrk	(is) your patience
SbrnA	we are patient
Sbrtm	you are patient
SbrwA	(are) patient
Sbrwn	steadfast
SbwA	pour
SbyA	a child
Sd	turned away
Sddnkm	avert you
Sddtm	you hindered
Sdq	sound
SdqA	(in) truth
Sdqhm	their truth
Sdqkm	fulfilled to you
SdqnA	has fulfilled for us
Sdqnhm	We fulfilled (for) them
Sdqp	charity
Sdqt	charities
Sdqthn	their dower
Sdqtkm	your charities
SdqtnA	you have spoken the truth to us
SdqwA	are true
Sdqyn	truthful
SdrA	(his) breast
SdrY	my breast
Sdrh	his breast
Sdrk	your breast
SdwdA	(in) aversion
Sdwkm	they stopped you
Sdwr	breasts
Sdwrhm	their hearts
Sdwrkm	your breasts
Sdyd	purulent
Sdyq	a friend
SdyqA	truthful
Sdyqkm	your friend
Sdyqp	(was) truthful
SfA	rank
SfHA	disregarding (you)
SfSfA	plain
Sfr	yellow
SfrA'	yellow
Sft	(with) wings outspread
SfwAn	(that of a) smooth rock
SgAr	a humiliation
Sgrwn	(are) subdued
Sgryn	humiliated
Sgt	(are) inclined
Sgyr	small
SgyrA	small
Sgyrp	small
SlAtY	my prayer
SlAth	its prayer
SlAthm	their prayer
SlH	Salih
SlHA	Salih
SlHyn	righteous
SlSl	clay
SlY	he prays
Slbwh	they crucified him
SldA	bare
SlwA	Send blessings
Slwh	burn him
Slwp	prayer
Slwt	(are) blessings
Slwthm	their prayers
Slwtk	your blessings
SlyA	(of) being burnt
Sm	Deaf
SmA	deaf
Smtwn	remain silent
SnE	Work
SnEA	(in) work
SnEp	making
SnEwA	they did
SnwAn	trees (growing) from a single root
Sr	(is) frost
SrEY	fallen
SrH	(is) a palace
SrHA	a tower
SrSr	screaming
SrSrA	furious
SrT	path
SrTA	(on) a way
SrTY	(is) My path
SrTk	(on) Your path
Srf	Allah has turned away
SrfA	(to) avert
Srfkm	He diverted you
SrfnA	We directed
Srfnh	We have distributed it
Srft	are turned
Srmyn	pluck fruit
Srp	a loud voice
Sryx	(would be) a responder to a cry
SwAE	cup
SwAbA	(what is) correct
SwAf	(when) lined up
SwmA	a fast
SwmE	monasteries
Swrkm	your forms
Swrnkm	We fashioned you
Swrp	form
Swt	voice
Swtk	your voice
Sxrp	a rock
SyASyhm	their fortresses
SyAm	fasting
SyAmA	(in) fasting
SyHp	shout
Syd	game
TAEm	an eater
TAEp	Obedience
TAb	seems suitable
TAgwn	transgressing
TAl	grew long
TAlwt	Talut
TAqp	strength
TA}Eyn	willingly
TA}f	a visitation
TA}fp	a group
TA}ftAn	two parties
TA}ftyn	the two groups
TEAm	food
TEAmA	food
TEAmh	his food
TEAmk	your food
TEmh	its taste
TEmtm	you have eaten
TEmwA	they ate
THYhA	spread it
TbAqA	(in) layers
TbE	(has) set a seal
Tbn	they remit
Tbq	stage
TbqA	(to) stage
Tbtm	you have done well
TflA	(as) a child
TgA	overflowed
TgY	transgressed
TgwA	transgressed
Tgyn	transgressing
TgynA	(in) rebellion
Tgynhm	their transgression
ThrA	[You both] purify
ThwrA	pure
TlE	(are) layers
TlEhA	its spathe
TlEt	it rose
TlbA	to find it
TlqhA	he divorces her
Tlqkn	he divorced you
Tlqtm	you divorce
Tlqtmwhn	divorce them
TlwE	rising
Tmst	are obliterated
TrA}q	paths
Trdthm	I drove them away
Trf	a glance
TrfA	a part
TrfY	(at the) two ends
Trfhm	their gaze
Trfk	your glance
TryA	fresh
Tryq	a Path
TryqA	a path
Tryqp	(in) conduct
TwEA	willingly
TwY	(of) Tuwa
TwbY	blessedness
Twfwn	(as) moving about
TwlA	afford
Twr	Mount Sinai
TwylA	long
TybA	good
Tybp	pure
Tybt	good
Tybtkm	your good things
Tybyn	(when they are) pure
Tyn	clay
TynA	(from) clay
Tyr	(of) fowls
TyrA	birds
T}f	an evil thought
T}r	a bird
T}rh	his fate
T}rhm	their evil omens
T}rkm	Your bad omen
ZAlm	(was) unjust
ZAlmY	(while) wronging
ZAlmp	unjust
ZEnkm	(of) yourtravel
Zfr	claws
Zhr	open
ZhrA	obvious
Zhrh	its back
ZhrhA	its back
Zhrk	your back
Zhrp	visible
Zhrwhm	backed them
ZhryA	backs
Zhryn	dominant
Zhwrh	their backs
ZhwrhA	their backs
Zhwrhm	their backs
ZhwrhmA	their backs
Zhwrkm	your backs
Zhyr	supporter
ZhyrA	a helper
Zl	turns
ZlA	shade
Zll	shades
ZllA	shades
Zllh	their shadows
ZllhA	(are) itsshades
Zlm	wrongs
ZlmA	injustice
Zlmh	his wrongdoing
Zlmhm	wronged them
Zlmk	he has wronged you
ZlmnA	we have wronged
Zlmnhm	We wronged them
Zlmp	(are) doingwrong
Zlmt	darkness[es]
Zlmtm	you have wronged
ZlmwA	wronged
Zlmwn	(are) wrongdoers
ZlmwnA	they wronged Us
Zlmyn	unjust
Zlp	a canopy
Zlt	you have remained
ZlwmA	unjust
Zlyl	cool shade
ZlylA	thick
Zm>	thirst
Zn	think
ZnA	assumption
Znh	his assumption
Znkm	(do) youthink
ZnnA	thought
Znnt	was certain
Znntm	you think
ZnwA	thought
b$Y'	anything
b$hAb	a torch
b$hdthm	in their testimonies
b$hyd	a witness
b$mAlh	in his left hand
b$q	with great trouble
b$r	a man
b$rA	a man
b$rY	good tidings
b$rYkm	Glad tidings for you
b$rkA}hm	their partners
b$rkkm	your association
b$rnk	We give you glad tidings
b$rr	sparks
b$rwhn	have relations with them
b$yr	bearer of glad tidings
b$yrA	A giver of glad tidings
b*bH	with a sacrifice
b*kr	at mention
b*krhm	their reminder
b*nbh	for his sin
b*nbhm	their sins
b*nwb	regarding the sins
b*nwbhm	their sins
b*nwbkm	for your sins
b*nwbnA	our sins
b<*n	by the leave
b<*nY	by My permission
b<*nh	by His leave
b<Hsn	with kindness
b<brhym	with Ibrahim
b<lHAd	of deviation
b<mmhm	with their record
b<sHq	of Isaac
b<vmY	with my sin
b<xrAj	to drive out
b<ymn	in faith
b<ymnhm	by their faith
b<ymnhn	of their faith
b<ymnkm	about your faith
b>$yAEhm	with their kind
b>EdA}km	about your enemies
b>Elm	most knowing
b>EynnA	under Our Eyes
b>Hkm	Most Just
b>Hsn	with better
b>HsnhA	best of it
b>SHb	with Companions
b>bSrhm	with their look
b>fwAhkm	with your mouths
b>fwhhm	with their mouths
b>fwhkm	by your mouths
b>hdY	better guidance
b>hlh	its own people
b>hlk	for your wife
b>hlkm	your family
b>hwA}hm	by their (vain) desires
b>kwAb	With vessels
b>lf	with a thousand
b>lsnp	with tongues
b>lsnthm	with their tongues
b>lsntkm	with your tongues
b>mAnykm	by your desire
b>mr	by Command
b>mrh	His Command
b>mrhm	about this affair
b>mrnA	by Our Command
b>mwl	with wealth
b>mwlhm	with their wealth
b>mwlkm	with your wealth
b>nEm	with cattle
b>nfshm	their lives
b>nfshn	for themselves
b>rbEp	four
b>rjlhn	their feet
b>s	violence
b>sA	(in) Might
b>sh	His wrath
b>shm	Their violence
b>skm	your battle
b>smA'	of names
b>smA}hm	of their names
b>snA	Our wrath
b>wEythm	with their bags
b>x	a brother
b>xyk	through your brother
b>yYm	of the days
b>ydY	In hands
b>ydyhm	with their hands
b>ydykm	by your hands
b>ydynA	by our hands
b>yyd	with strength
bA'	draws
bATnh	its interior
bAb	gate
bAbA	a gate
bAdY	immature in opinion
bAdwn	living in desert
bAg	desiring
bAl	(is the) case
bAlhm	their condition
bAq	(will) be remaining
bAqyp	lasting
bArd	cool
bArzp	(as) a leveled plain
bAr}km	your Creator
bAsTwA	(are) stretching out
bAsqt	tall
bAsrp	(will be) distorted
bAyEtm	you have contracted
bAzgA	rising
bAzgp	rising
bDArhm	he (can) harm them
bDAryn	at all [be those who] harm
bDE	a few
bDEp	(as) a merchandise
bDEthm	their merchandise
bDEtnA	(is) our merchandise
bDnyn	a withholder
bDr	harm
bDyA'	light
bE$r	ten
bE*Ab	a punishment
bE*Abkm	by punishing you
bEAd	with Aad
bED	any
bEDA	others
bEDh	some of them
bEDhA	some of it
bEDhm	some of them
bEDkm	You
bEDnA	one of us
bESAk	with your staff
bESm	to marriage bonds
bEZm	with the bone
bEbAdY	with My slaves
bEbAdh	of His slaves
bEbAdp	in worship
bEbAdthm	of their worship
bEbdh	His servant
bEd	after
bEdA	Away
bEdY	after me
bEdh	after it
bEdhA	after it
bEdhm	after them
bEdhn	after that
bEdk	after you
bEdkm	after you
bEdmA	after
bEdt	was long
bEdthm	their number
bEhd	the covenant
bEhdY	My Covenant
bEhdh	his covenant
bEhdhm	their covenant
bEhdkm	your covenant
bEjl	a calf
