$>n	durumda
>rDkm	yurdunuz-
>rDnA	yurdumuz-
>rDytm	razı mı oldunuz?
>rHAm	rahimlerinde
>rHAmhn	kendi rahimleri-
>rHAmkm	akrabanız
>rHm	en merhametlisi
>rY	gördüğüm
>rYk	seni görüyorum
>rYkhm	sana onları gösterseydi
>rYkm	sizi görüyorum
>rYnY	görüyorum ki
>rbAbA	rabler
>rbE	dört defa
>rbEp	dört
>rbEyn	kırk
>rbY	daha çok
>rdYkm	sizi helak etti
>rdn	istiyorlarsa
>rdnA	isteseydik
>rdnh	istediğimiz
>rdt	istesem de
>rdtm	isterseniz
>rhTY	yakın çevrem
>rjA}hA	onun kenarlarındadır
>rjE	dönerim
>rjh	onu beklet
>rjl	ayakları
>rjlhm	ayakları
>rjlkm	ayaklarınızın
>rkshm	onları baş aşağı etmiştir
>rkswA	başaşağı atılırlar
>rnA	bize göster
>rnY	bana görün
>rsl	gönder
>rslh	onu gönder
>rslnA	gönderdik
>rslnh	onu göndermiştik
>rslnk	seni gönderdik
>rslt	gönderseydin
>rsltm	gönderildiğiniz
>rslwA	kendileri gönderilmemişlerdi
>rwnY	bana gösterin
>ryd	istendi
>rykm	ben size göstermiyorum
>rynh	biz ona gösterdik
>rynk	sana gösterdiğimiz
>s>tm	kötülük ederseniz
>sA'	kötülük yaparsa
>sAwr	bilezikler
>sHr	sihir midir?
>sTyr	masalları
>s_lk	senden istemekten
>s_lkm	istemiyorum
>s_wA	kötülük eden(leri)
>sbATA	kabileye
>sbb	sebeplerine
>sfA	üzüntülü
>sfArA	kitaplar
>sfArnA	seferlerimizin
>sfl	aşağıların
>sknt	yerleştirdim
>sknwhn	onları oturtun
>slHthm	silahlarını da
>slHtkm	silahlarınız-
>slft	önceden işlemiş olduğunun
>slftm	yaptığınız işlerden
>slm	İslam
>slmA	ikisi (Allah'ın emrine) teslim oludu
>slmnA	islam olduk
>slmt	teslim oldum
>slmwA	İslam olmuş
>smA'	isimler
>smE	işitir
>smEhm	onlara işittirseydi de
>sm}h	O'nun isimleri
>sr	gizleyen
>srE	en çabuğudur
>srY	esirler
>srf	israf eden
>srfwA	aşırı giden
>srhm	yapılarını
>srwA	gizledikleri
>ss	kuran
>stgfr	mağfiret dileyeceğim
>stgfrt	mağfiret dilesen de
>stjb	kabul edeyim
>stkbrt	büyüklük mü tasladın?
>stxlSh	onu özel (dost) yapayım
>sw>	en kötüsüyle
>swp	bir örnek
>swrp	bilezikler
>sxT	kızdıran
>t*r	bırakacak mısın?
>t>mrwn	emir mi ediyorsunuz
>t>twn	-mi gidiyorsunuz?
>t>x*wnh	verdiğinizi alacak mısınız?
>tEbdwn	mi tapıyorsunuz?
>tEdAnnY	siz bana va'd mı ediyorsunuz?
>tEjbyn	şaşıyor musun?
>tElmwn	siz biliyor musunuz?
>tHAjwnnA	bizimle tartışıyor musunuz?
>tHdvwnhm	onlara haber mi veriyorsunuz
>tHjwnY	benimle tartışıyor musunuz?
>tSbrwn	sabrediyor musunuz?
>tY	geldi
>tYhA	gelir
>tYhm	onlara yetişti
>tYk	sana geldi
>tYkm	size gelse
>tYnA	bize gelip çattı
>tbE	tuttu
>tbEh	ben ona uyayım
>tbEk	sana tabi olabilir miyim?
>tbnwn	siz yapıyor musunuz?
>tdEwn	-mi yalvarıyorsunuz?
>thlknA	bizi helak mı edeceksin?
>thtdY	tanıyabilecek mi
>tjEl	mi yaratacaksın?
>tjdlwnnY	benimle mi tartışıyorsunuz?
>tl	okuyayım
>tlwA	okumam
>tmdwnn	bana yardım mı etmek istiyorsunuz?
>tmhA	tamamladığı
>tmm	tamamla
>tmmt	tamamlarsan
>tmwA	tamamlayın
>tnb_wn	bildiriyor musunuz?
>tnhYnA	bizi men mi ediyorsun?
>tqYkm	en çok korunanınızdır
>tqn	gayet iyi yapan
>tqtlwn	öldürüyor musunuz?
>tqwlwn	mi söylüyorsunuz?
>trftm	şımartıldığınız
>trfwA	bulundukları refahın
>tryd	-mi istiyorsun?
>trydwn	mi istiyorsunuz?
>tstbdlwn	değiştirmek mi istiyorsunuz?
>tt	geçtiği
>tthm	onlara getirmişti
>ttk	sana geldiğinde
>ttkm	gelse
>ttrkwn	bırakılacağınızı mı sanıyorsunuz?
>ttx*	mi ediniyorsun?
>ttx*nA	bizimle ediyor musun?
>twA	vardılar
>twASwA	tavsiye mi ettiler?
>twb	tevbelerini kabul ederim
>twh	O'na gelirler
>twk	sana geldikleri
>twk&A	dayanıyorum
>tx$wnhm	yoksa onlardan korkuyor musunuz?
>tx*	edineyim
>tx*nhm	hani onları edinirdik
>tx*tm	aldınız mı?
>tyA	vardıklarında
>tyn	yaparlarsa
>tynA	geldik
>tynhm	biz onlara getirdik
>tyt	sen getirsen
>vmr	meyva verdiği
>vqAlhm	kendi yüklerini
>vqAlkm	ağırlıklarınızı
>vqlt	(yükü) ağırlaşınca
>vr	izi-
>vrY	benim izim
>vrp	bir kalıntı
>vvA	eşyaca
>vxntmwhm	onları iyice vurup sindirdiğiniz
>w'AbA&nA	atalarımız da mı?
>w*Y	eziyet edilince
>w*ynA	bize işkence edildi
>w>mn	Ya da emin midirler?
>wAb	(Allah'a) yüz tutan
>wEZt	öğüt versen de
>wEjbtm	şaştınız mı?
>wHY	vahyolundu
>wHynA	vahyettik
>wHyt	vahyetmiştim
>wY	sığındıkları
>wbY	tesbih edin
>wdyp	dereler
>wdythm	vadilerine
>wf	ben de tutayım
>wfY	tutarsa
>wfwA	tam yapın
>wh	çok içli idi
>whn	en gevşeği
>wjftm	siz sürmediniz
>wklmA	ne zaman
>wl	ilk
>wlY	yazık
>wlYhm	öncekiler
>wlYhmA	birincisinin
>wldhm	çocukları
>wldhn	çocuklarını
>wldkm	evladlarınız
>wlt	onlar
>wlwA	sahibi
>wlyA&h	onun velileri
>wlyA&hm	dostları da
>wlyA&km	sizin dostlarınızız
>wlyA'	dost
>wlyA'h	onun velisi
>wlyA}hm	dostlarına
>wlyA}km	dostlarınıza
>wlys	değil midir?
>wqdwA	yakmışlarsa
>wrvnA	miras verdik
>wrvtmwhA	size miras verilen
>wrvwA	varis kılınanlar
>wsT	orta derecesinden
>wsThm	orta yol üzere olanları
>wt	verilmeseydi
>wtY	verilen
>wtwA	verilen
>wtwh	(Kitap) verilmiş olanlar
>wtyt	sana verildi
>wtyth	o bana verildi
>wtytm	size verilen
>wvnA	birtakım putlar
>wynA	sığındığımız
>wzAr	günahlarının
>wzArA	yükler (günahlar)
>wzArhA	ağırlıklarını
>wzArhm	günahlarını
>wzEnY	beni sevk eyle
>x	bir erkek
>x*	alsa
>x*A	bir yakalayışla
>x*h	O'nun yakalaması
>x*nA	almıştık
>x*nhm	onları yakaladık
>x*p	bir yakalayışla
>x*t	alıp
>x*th	yakaladı
>x*thA	onu yakalamışımdır
>x*thm	onları yakaladım
>x*tm	aldığınız fidyeden
>x*wA	yakalanırlar
>xA	kardeşini (Hud'u)
>xAf	korkarım
>xAh	kardeşi
>xAhm	kardeşleri
>xAlfkm	size aykırı hareket etmek
>xAnA	kardeşimizi
>xT>nA	yanılırsak
>xT>tm	yanılarak
>xY	kardeşimin
>xbArkm	sizin haberlerinizi
>xdAn	dost
>xfY	saklandığını
>xfyhA	onu gizleyeceğim
>xfytm	sizin gizlediğiniz
>xlSnhm	onları ihlaslı yaptık
>xld	saplandı
>xlfnA	çıkmadık
>xlfwA	döndüklerinden
>xlq	yaratırım
>xnh	kendisine hainlik etmediğimi
>xr	başka
>xrY	öteki
>xrYhm	sonrakiler
>xrYkm	arkanızdan
>xrj	çıkarsa
>xrjh	(Mekke'den) çıkardıklarında
>xrjk	seni çıkardığı zaman
>xrjkm	sizi çıkardı
>xrjnA	çıkarırız
>xrjnY	beni çıkardı
>xrjt	çıkarılmış
>xrjtk	seni çıkardıkları
>xrjtm	siz çıkarılırsanız
>xrjwA	çıkarın
>xrjwhm	onları çıkarın
>xrjwkm	sizi çıkardıkları
>xrnA	geciktirsek
>xrqthA	mi onu deldin?
>xrtn	beni ertelersen
>xrtnA	bizi erteleseydin
>xrtnY	beni erteleseydin
>xt	bir kızkardeşi
>xthA	öteki-
>xtk	kızkardeşin
>xwhm	kardeşleri
>xwk	senin kardeşinim
>xwlkm	dayılarınızın
>xwthn	kızkardeşlerinin
>xwtkm	kızkardeşlerinizin
>xwykm	kardeşlerinizin
>xyh	kardeşi
>xzY	daha da kepaze edicidir
>xzyth	onu perişan etmişsindir
>y$rkwn	ortak mı koşuyorlar?
>y>mrkm	size emreder mi?
>yAm	gün
>yAmA	gün
>yEdkm	O size va'dediyor mu?
>yHb	sever mi?
>yHsb	sanıyor mu?
>yHsbwn	onlar sanıyorlar mı?
>yTmE	umuyor mu?
>ybtgwn	mi arıyorlar?
>yd	elleri
>ydY	ellerini
>ydk	seni destekledi
>ydtk	seni desteklemiştim
>ydyhm	elleri
>ydyhmA	ellerini
>ydyhn	elleri
>ydykm	ellerinizi
>ydynA	önümüzde
>ymn	andları
>ymnhm	andlarını
>ymnhn	ellerinin
>ymnkm	ellerinize
>ymskh	onu tutsun mu?
>yqAZA	uyanıklar
>ywb	Eyyub'u
>ywd	ister mi ki?
>zAg	eğriltti
>zft	yaklaştı
>zkY	daha iyi
>zwj	çift
>zwjA	eşler
>zwjh	eşlerinden
>zwjhm	eşleri
>zwjhn	(eski) kocalarıyla
>zwjk	eşlerini
>zwjkm	eşlerinizi
>zwjnA	eşlerimizi
>}fkA	uydurma
>}mp	önderler
DAHkA	gülümseyerek
DAHkp	güleçtir
DAlA	şaşırmış
DAmr	yorgun deve
DAqt	dar gelmişti
DEf	aciz
DEfA	güçsüz
DEfA'	aciz
DEfwA	zayıflık göstermediler
DEfyn	iki kat
DEyfA	zayıf
DHY	kuşluk vakti
DgvA	bir demet sap
Dl	sapan
Dll	sapıklık
DllA	sapıklıkla
Dllk	şaşkınlığının
DllnA	biz kaybolduktan
Dllp	bir sapıklık
Dllt	saparsam
Dllthm	sapıklıkları-
DlwA	sapmış
DnkA	dar
Dr	derdi
DrA	zarar
DrA'	bir zarardan
DrArA	zarar vermek için
Drb	anlattı
DrbA	gezmeye
DrbnA	getirdik
Drbt	vurulmuştur
Drbtm	yolculuk ederken
DrbwA	misal verdiler
Drbwh	bunu misal vermediler
Drh	zararı
DyA'	bir ışık
Dyf	konukları-
DyfY	konuklarım
Dyfh	onun konukları-
Dyq	sıkıntıya
DyqA	dar
Dyr	zarar
E$A'	akşamleyin
E$r	on (iki)
E$rA	on(yıl)a
E$rp	on
E$rwn	yirmi (kişi)
E$yp	bir akşamdan
E$yrthm	akrabaları
E$yrtk	akrabanı
E*Ab	azap
E*AbA	azab
E*AbY	azabım
E*Abh	azabından
E*AbhA	onun azabı
E*AbhmA	onlara yapılan azaba
E*b	tatlı
E*rA	özür
E*t	sığındım
EASf	sert
EASfp	şiddetli
EASm	kurtaracak
EAbd	ibadet eden
EAbrY	geçici olmanız
EAd	Ad
EAdA	Ad'ı
EAdytm	düşman olduklarınız
EAkfA	taptığın
EAlyA	ululanan
EAm	yıl
EAmA	yıl
EAmhm	yıllarından
EAml	yapıyorum
EAmlp	çalışır
EAmyn	iki yıl
EAqb	ceza verir de
EAqbtm	ceza verecekseniz
EAqr	kısırken
EAqrA	kısırdır
EArD	bir buluttur
EArDA	geniş bir bulut halinde
EA}lA	fakir
EDdk	senin pazunu
EDwA	ısırırlar
ESAY	asa'mdır
ESAh	asasını
ESAk	Asanı
ESAnY	bana karşı gelirse
ESbp	bir cemaatiz
ESwA	isyan etmeleri
ESwk	sana karşı gelirlerse
ESwnY	bana karşı geldiler
ESyt	isyan edersem
ESyth	O'na isyan edersem
ETA&nA	bizim ihsanımızdır
ETA'	hediyesi
ETfh	boynunu
EZmA	kemikler
EbAd	bilakis
EbAdA	kul(lar)
EbAdY	kullarım
EbAdh	kulları
EbAdk	kulların
EbAdkm	köleleriniz-
EbAdnA	kullarımız
EbAdtY	bana kulluk etmeğe
EbAdth	O'na kulluk-
EbAdtkm	sizin tapınmanız-
Ebd	kulu
EbdA	kul
Ebdh	kulu
EbdnA	kulumuz
Ebdnhm	biz onlara tapmazdık
Ebdt	köle yapman
Ebdwn	ibadeti
Ebdyn	iki kulun
Ebrp	ibret
Ebs	surat astı
EbvA	boş yere
EbwsA	suratsız
Edd	sayısını
Edl	adil
Edn	Adn
EdnA	biz de döneriz
Edp	sayısı
Edthm	onların sayısını
Edtm	siz dönerseniz
Edw	düşman
EdwA	düşman
EdwY	benim düşmanımı
Edwh	düşmanları-
Edwhm	düşmanlarına
Edwkm	düşmanınızı
Edwn	düşmanlık
EdwnA	düşmanlık ile
Edwp	düşman olarak
EfA	affetti
EfY	affedilen
Efryt	bir ifrit
EfwA	çoğaldılar
EfwnA	affetmiştik
Ehd	söz
EhdA	ahitle
EhdY	ahdim
Ehdh	sözünden
Ehdhm	andlaşmalarını
EhdnA	biz emretmiştik
Ehdt	sen andlaşma yaptığın
Ehdtm	andlaştıklarınız
EhdwA	anlaştılarsa
EjAf	zayıf inek
EjbA	tuhaf
Ejbt	sen şaşıyorsun
EjbwA	şaştılar
Ejl	aceleden
EjlA	bir buzağı
EjlnA	çabucak veririz
Ejwz	bir koca karı
EjwzA	bir koca karı
Ekfwn	ibadete çekilmiş iken
Ekfyn	tapmaktan
ElA	ululandı (zorbalığa kalktı)
ElY	yücedir
Elm	bildi
Elm&A	bilginlerinin
ElmA	ilmen
ElmY	ben bilmem
Elmh	O'nun ilmi-
ElmhA	onun bilgisi
Elmhm	onların bilgileri
Elmkm	size öğreten
ElmnA	biliriz
ElmnY	bana öğrettiği
Elmnh	biz ona öğretmedik
Elmt	bilir
Elmth	sen bunu bilirdin
Elmtk	sana öğrettim
Elmtm	bildiniz
Elmtmwhn	anlarsanız
ElmtnA	bize öğrettiğin
ElmwA	gayet iyi biliyorlardı ki
Elqp	alaka(embriyo)-
ElwA	yücedir
ElyA	yücedir
ElyhA	üstünü
Elyhm	üstlerinde vardır
Elym	bilir
ElymA	bilendir
EmY	kördürler
Emd	direkler
Emk	amcanın
Eml	işi
EmlA	ameli
EmlY	benim yaptığım
Emlh	işi
Emlhm	yaptıkları işi
Emlk	amelin
Emlkm	yaptığınızı
Emlt	yaptığı
Emlth	emeğinden
Emltm	yaptıklarınız
EmlwA	yaptıktan
EmrA	belli bir ömür
Emrh	onun ömrü-
Emrk	ömründen
Emrn	İmran
EmrwhA	bunların imar ettiklerinden
Emtk	halalarının
Emtkm	halalarınızın
EmwA	kör
EmyA	kör
End	göre
EndY	yanımdadır
Endh	yanında
EndhA	yanında
Endhm	yanlarında
Endk	sana
Endkm	sizin
EndnA	katımız-
Enqh	boynuna
Enqk	boynuna
Entm	sıkıntıya uğramanız
EqAb	azab
EqbY	sonu
Eqbh	kendinden sonrakiler
Eqbp	sonu
EqbthmA	sonları
Eqbyh	ökçesi
Eqdp	akdi
Eqdt	bağladığı
Eqdtm	bilerek yaptığınız
Eqlwh	düşünüp akıl erdirdikten
EqymA	kısır
Er$	tahtını
Er$h	O'nun Arş'ı
Er$hA	tahtını
Er$k	senin tahtın
ErD	menfaatini
ErDA	bir menfaat
ErDhA	genişliği
ErDhm	onları sunup
ErDnA	sunduk
ErDp	engel
ErDtm	üstü kapalı bildirmenizden
ErbA	sevgililer
ErbY	Arapça
ErbyA	Arap
Erf	bildirmişti
ErfhA	tanımladığı
Erft	Arafat-
ErfwA	tanımalarından
Erw$hA	çatıları
EsY	belki
Esl	bal-
Esr	bir güçlükten
Esrp	darlık
Esytm	belki de
Etl	kaba
Ett	baş kaldırdı
Etw	azgınlık
EtwA	vazgeçmediler
Evr	anlaşılırsa
EwAn	orta yaşlı
Ewj	pürüzü
EwjA	eğri
Ewqb	yapılan cezanın
Ewqbtm	size verilen cezanın
Ewrp	(sağlam değil) açıktır
Ewrt	mahrem olan
Ey$p	bir yaşam
EydA	bir bayram
Eylp	yoksulluğa düşmekten
Eyn	göz
EynA	göze
EynAh	gözleri
EynAk	gözlerin
EynAn	iki kaynak
EynhA	gözü
Eynyk	gözlerini
EysY	Îsa
EywnA	kaynaklar halinde
Ezlt	ayrıldıklarından
Ezm	çok önemli
Ezmt	karar verdiğin
EzmwA	kesin karar verirlerse
Ezp	bir gurur
Ezyr	Uzeyr
Ezyz	azizdir
EzyzA	azizdir
H$	haşa
H$r	toplamadır
H$rtnY	beni haşrettin
H*r	korkusuyla
H*rhm	korunma(tedbir)lerini
H*rkm	korunma tedbirinizi
HADrA	hazır
HADrY	hazır
HADrp	peşin
HASbA	bir fırtına
HAd	düşman
HAfyn	dönerek
HAj	tartışan
HAjk	seninle tartışmaya kalkarsa
HAjp	arzuya
HAjwk	seninle tartışmaya girişirlerse
HAjzA	bir perde olarak
HAm	"ham"
HArb	savaşan
HAsd	hasedcinin
HDr	geldiği
HDrwh	ona geldikleri
HSAdh	hasat
HSHS	yerini buldu
HSb	odunusunuz
HSdtm	biçtiniz
HSrt	sıkılarak
HSwnhm	kalelerinin
HSydA	biçilmiş hale
HTmA	çerçöp
HTp	"affet"
HY	canlı
HZ	payı
HZA	pay almayı
Hb	sevgisini
HbA	dane
HbAlhm	iplerini
HbT	boşa çıkmıştır
HbTt	boşa çıkmıştır
Hbb	sevdirdi
Hbh	sevdiği
Hbl	bir ip
Hbp	tohum
HdAd	sivri
HdA}q	bahçeler
Hdb	tepeden
Hdwd	sınırlarını
Hdwdh	O'nun sınırlarını
Hdyv	söze
HdyvA	bir söz
HfY	biliyormuşsun
HfZ	kendilerini korumasına
HfZA	koruyan
HfZhmA	onları koru(yup gözet)mek
HfZp	koruyucu(melek)ler
HfZt	korurlar
HfZwA	koruyun
Hfrp	bir çukurun
HfyZ	iyi korur
HfyZA	bekçi
Hj	hacceder
HjAb	perde
HjAbA	bir perde
HjArp	taş
Hjj	yıl
Hjjtm	tartışıyorsunuz
Hjp	bir delili
Hjr	dokunulmaz
HjrA	yasaktır
Hjthm	delilleri
HjtnA	hüccetlerimizdir
Hjwrkm	birleştiğiniz
Hkm	hükmü
HkmA	hüküm
Hkmh	kendi hükmüne
Hkmp	hikmettir
Hkmt	hüküm verirsen
Hkmtm	hükmettiğiniz
Hkym	Hakîmdir
Hl	helal
HlA	helal
HlAf	yemin edip duran
Hlftm	(yemini) bozduğunuz
Hll	helaldir
HllA	helal
Hlltm	ihramdan çıktığınız
Hlyhm	zinetlerinden yapılmış
HlymA	halimdir
Hlyp	süs
Hm<	balçık-
HmAlp	hamalı
HmArk	eşeğine
Hml	gebe
HmlA	bir yük
HmlhA	yükünü
Hmlhn	yüklerini
HmlnA	taşıdığımız
Hmlnkm	sizi taşıdık
Hmlt	taşıdıkları
Hmlth	yüklediğin
Hmltm	size yükletilen
HmlwA	yükletilenlerin
Hmr	yaban eşekleri
Hmwlp	(kimi) yük taşır
Hmyd	övgüye layıktır
Hmym	dost
HmymA	sıcak
Hmyp	öfke ve gayretini
Hm}p	kara balçıklı
HnfA'	birleyerek
HnyfA	hanif
Hnyn	Huneyn
Hq	hak
HqA	borç
Hqh	hakkını
Hqt	hak oldu
Hqyq	borçtur
HrA	sıcaktır
HrAm	haramdır
HrAmA	(bir kısmını) haram
HrD	teşvik et
HrDA	hasta
HrSt	ne kadar istesen de
HrStm	isteseniz de
Hrd	engellemeye
Hrf	bir kenardan (uçurumdan)
Hrj	güçlük
HrjA	tıkanık
Hrm	haram etti
HrmA	ihramlı
HrmhA	burayı saygıdeğer kıldı
HrmhmA	bu ikisini haram etmiştir
HrmnA	yasakladık
Hrmt	yasaklanmış
Hrqwh	onu yakın
HrsA	bekçilerle
Hrv	ekinine
Hrvh	onun ekinini
Hrvkm	tarlanıza
HryS	düşkün
HsAbA	bir hesabla
HsAbh	onun hesabı
HsAbhm	hesapları
HsAbk	senin hesabın-
Hsb	-mı sandılar?
HsbAnA	yıldırımlar
HsbY	bana yeter
Hsbh	ona yeter
Hsbhm	onlara yeter
Hsbk	sana yeter
HsbnA	bize yeter
Hsbt	(mi) sandın?
Hsbth	sandı
Hsbthm	kendilerini sanırsın
Hsbtm	siz sandınız
HsdA	hasetle
Hsn	güzel
HsnA	güzel
Hsnhn	güzellikleri
Hsnp	güzel
Hsnt	ne güzel
Hsrp	dert
Hsrt	hasretlere
HswmA	ardı ardına
HsyshA	onun uğultusunu
HtmA	bir borçtur
HvyvA	durmadan
HwbA	bir günahtır
Hwl	çevresinde
Hwlh	çevresini
HwlhA	çevresinde
Hwlhm	çevreleri-
Hwlk	çevrenden
Hwlkm	çevrenizdeki
Hwlyn	iki yıl
Hwr	huriler
HwthmA	balıklarını
HyA	diri
HyAtkm	hayatınızda
HyAtnA	hayatımızdan
Hylp	hiçbir çareye
Hyn	vakit
Hyn}*	o zaman
Hyp	kocaman bir yılan
HyrAn	şaşkın bir halde
HytAnhm	balıkları
Hyv	yer-
Hywk	seni selamlıyorlar
Hywp	hayat
Hyytm	selamlandığınız
Hzb	gurup
Hzbh	taraftarlarını
HznA	üzüntüden
SAHbh	arkadaşı
SAHbhm	bir arkadaşlarını
SAHbkm	arkadaşınız
SAbrA	sabredici
SAbrp	sabreden
SAdq	sadık
SAdqA	doğru söylüyor
SAl	girecek
SAlwA	gireceklerdir
SEqA	düştü
SEqp	yıldırımı
SEydA	bağın
SHbp	eş
SHf	sahifeler
SHfA	sahifeler
SbAH	sabahı
SbAr	sabreden
SbHhm	sabah onları yakaladı
SbbnA	döktük
Sbgp	boyası
Sbr	sabrederse
SbrA	sabır
Sbrk	senin sabrın
SbrnA	sabretsek de
Sbrtm	sabretmenize
SbrwA	sabrederler
Sbrwn	sabreden
SbwA	dökün
Sd	yüz çevirdi
Sddnkm	engelledik
Sddtm	engel olduğunuzdan
Sdq	iyi
SdqA	doğruluk
Sdqhm	doğrulukları-
Sdqkm	size doğruladı
SdqnA	bize yerine getirdi
Sdqnhm	yerine getirdik
Sdqp	sadaka-
Sdqt	sadaka
Sdqthn	mehirlerini
Sdqtkm	sadakalarınızı
SdqtnA	bize doğru söylediğini
SdqwA	durdular
SdrA	göğsünü
SdrY	göğsüm
Sdrh	göğsünü
Sdrk	göğsün
Sdwkm	sizi çevirdiklerinden
Sdwr	göğüslerde
Sdwrhm	yürekleri
Sdwrkm	gönlünüzde
Sdyq	bir dostumuz
SdyqA	çok doğru
Sdyqkm	arkadaşınızın
Sdyqp	dosdoğruydu
SfA	sıra
SfHA	vazgeçip
SfrA'	sarı renginde
Sft	sıra sıra
SfwAn	şu kayaya
SgAr	bir aşağılık
Sgt	sapmış olmasından
Sgyr	küçük
SgyrA	az olsun
Sgyrp	küçük
SlAtY	benim namazım
SlAth	kendi du'asını
SlAthm	namazları-
SlH	iyi
SlHA	iyi
SlHyn	salih
SlSl	bir çamur-
Slbwh	asmadılar
SldA	sert bir taş halinde
SlwA	siz de salat edin
Slwp	namazından
Slwt	bağışlamalar
Slwthm	namazlarını
Slwtk	senin du'an
Sm	sağırdırlar
SmA	sağır
SnE	yapısıdır
SnEp	yapmayı
SnEwA	işledikleri
SnwAn	çatalı
Sr	dondurucu
SrEY	serilmiş
SrH	köşk
SrHA	bir kule
SrSr	uğultulu
SrSrA	uğultulu
SrT	yol
SrTA	yola
SrTY	benim yolum
SrTk	senin yolunun üstüne
Srf	çevirmiştir
SrfA	(azabı) geri çevirmeğe
Srfkm	(Allah) geri çevirdi
SrfnA	yöneltmiştik
Srfnh	etraflıca anlattık
Srft	çevrildiği
Srp	çığlık
Sryx	imdad (eden)
SwAE	su tasını
SwAf	sıra halinde dururlarken
SwmA	oruç
SwmE	manastırlar
Swrkm	şekillerinizi
Swrnkm	size biçim verdik
Swrp	surette
Swt	sesinin
Swtk	sesini
Sxrp	bir kaya-
SyASyhm	kaleleri-
SyAm	oruçtan
SyAmA	oruçtur
SyHp	na'ra
Syd	avı
TAEm	yemek
TAEp	itaatiniz
TAb	helal
TAl	uzun geldi
TAlwt	Talut
TAqp	gücümüz yok
TA}f	dolaşıcı bir bela
TA}fp	bölük
TA}ftAn	iki grup
TA}ftyn	iki topluluk
TEAm	yemeğe
TEAmA	yiyecek
TEAmk	yiyeceğine
TEmh	tadı
TEmtm	yemeği yeyince
TEmwA	yediklerinden
TbAqA	tabaka tabaka
TbE	mühürlediği
Tbn	bağışlarlarsa
TbqA	tabakaya
Tbtm	(ne) hoşsunuz
TflA	çocuk olarak
TgA	kabarınca
TgwA	azmışlardı
TgynA	azgınlık
Tgynhm	taşkınları
ThrA	temizlemesini
TlE	tomurcukları
TlEhA	tomurcuğu-
TlEt	doğduğu
TlqhA	(erkek) yine boşarsa
Tlqkn	o sizi boşarsa
Tlqtm	boşarsınız
Tlqtmwhn	boşarsanız
TlwE	doğmadan
TrA}q	yollardayız
Trdthm	onları kovsam
Trf	göz ucuyla
TrfA	bir kısmını
TrfY	iki tarafında
Trfhm	bakışları
Trfk	gözünü
TryA	taze
Tryq	yola
TryqA	bir yol
Tryqp	yol (hayat tarzı)
TwEA	gönüllü
TwbY	mutluluk
Twfwn	girip çıkarsınız
TwlA	mali güce
Twr	Tur-i
TybA	temiz
Tybp	hoş
Tybt	iyileri-
Tybtkm	bütün güzelliklerinizi
Tybyn	iyi insanlar olarak
Tyn	çamur-
Tyr	kuş
TyrA	kuş
T}f	bir vesvese
T}r	kuş
T}rh	kuşunu (kaderini)
T}rhm	onların uğursuzluğu
T}rkm	uğursuzluğunuz
ZAlm	zulmederek
ZAlmY	zulmederlerken
ZAlmp	zalim
ZEnkm	göç
Zfr	tırnaklı(ları)
Zhr	çıktı
ZhrA	sathi
Zhrh	(denizin) sırtında
ZhrhA	onun sırtı
Zhrp	görünür
Zhrwhm	onlara yardım eden
ZhryA	sırt dönerek
Zhryn	hakimsiniz
Zhwrh	onların sırtları
ZhwrhA	arkaları-
Zhwrhm	belleri-
ZhwrhmA	sırtlarının
Zhwrkm	sırtlarınız
ZhyrA	arka
Zl	kesilir
ZlA	bir gölgeye
Zll	gölgeler
ZllA	gölgeler
Zllh	gölgelerinin
ZllhA	onun gölgeleri
Zlm	zulüm
ZlmA	zulümden
Zlmh	zulme uğradıktan
Zlmhm	zulümlerine
Zlmk	sana zulmetmiştir
ZlmnA	biz zulmettik
Zlmnhm	onlara zulmediyor
Zlmp	zulmeden
Zlmt	zulmeden
Zlmtm	zulmettiniz
ZlmwA	zalimler
ZlmwnA	bize zulmediyor
Zlp	bir gölge
Zlt	durup ısrarla
ZlwmA	çok zalimdir
Zlyl	gölgelendirmez
Zm>	bir susuzluk
Zn	zanları
ZnA	zandan
Znh	zannını
Znkm	zannınız
ZnnA	anladık
Znnt	sezmiştim
Znntm	siz sandınız
ZnwA	sanmışlardı
b$Y'	hiçbir
b$hAb	bir ateş
b$hdthm	şahidliklerini
b$hyd	bir şahid
b$mAlh	sol tarafından
b$q	zahmetler çekmek
b$r	insan
b$rA	insan
b$rY	müjde
b$rYkm	müjdeniz
b$rkA}hm	ortaklarını
b$rkkm	sizin ortak koşmanızı
b$rnk	sana müjdeledik
b$rr	kıvılcım(lar)
b$rwhn	onlara yaklaşın
b$yr	müjdeleyici
b$yrA	müjdeleyici
b*bH	bir kurbanlık
b*kr	anmakla
b*krhm	Zikir'lerini
b*nbh	günahıyla
b*nbhm	günahlarını
b*nwb	günahlarını
b*nwbhm	günahlarını
b*nwbkm	günahlarınızdan ötürü
b*nwbnA	günahlarımızı
b<*n	izni
b<*nY	benim iznimle
b<*nh	izniyle
b<Hsn	güzelce
b<brhym	İbrahim'e
b<lHAd	haktan sapmak
b<mmhm	imamıyla
b<sHq	İshak'ı
b<vmY	benim günahımı
b<xrAj	çıkarmağa
b<ymn	imanda
b<ymnhm	imanları dolayısıyla
b<ymnhn	onların imanlarını
b<ymnkm	sizin imanınızı
b>$yAEhm	benzerlerine
